unit_id,report_id,reconstructed_first_author,year,reconstructed_title,country,PMID,identity_evidence,identity_status,extraction_status
U_R001,R001,Richmond,2002,"Routine pulse oximetry in the asymptomatic newborn",United Kingdom,12193511,"restart-native Raw_Public_Corpus + PubMed_Reconciliation exact concordance",IDENTITY_RECONSTRUCTED_EXACT,NOT_YET_EXTRACTED
U_R002,R002,Koppel,2003,"Effectiveness of pulse oximetry screening for congenital heart disease in asymptomatic newborns",United States,12612220,"restart-native Raw_Public_Corpus + PubMed_Reconciliation exact concordance",IDENTITY_RECONSTRUCTED_EXACT,NOT_YET_EXTRACTED
U_R003,R003,Reich,2003,"The use of pulse oximetry to detect congenital heart disease",United States,12640374,"restart-native Raw_Public_Corpus exact report-ID/title/PMID linkage",IDENTITY_RECONSTRUCTED_EXACT,NOT_YET_EXTRACTED
U_R006,R006,Meberg,2008,"First day of life pulse oximetry screening to detect congenital heart defects",Norway,18492511,"restart-native Raw_Public_Corpus + PubMed_Reconciliation exact concordance",IDENTITY_RECONSTRUCTED_EXACT,NOT_YET_EXTRACTED
U_R008,R008,de-Wahl Granelli,2009,"Impact of pulse oximetry screening on the detection of duct dependent congenital heart disease: a Swedish prospective screening study in 39,821 newborns",Sweden,19131383,"restart-native Raw_Public_Corpus + PubMed_Reconciliation exact concordance",IDENTITY_RECONSTRUCTED_EXACT,NOT_YET_EXTRACTED
U_R013,R013,Turska-Kmiec,2012,"Early screening for critical congenital heart defects in asymptomatic newborns in Mazovia province",Poland,22528711,"restart-native PubMed_Reconciliation exact concordance",IDENTITY_RECONSTRUCTED_EXACT,NOT_YET_EXTRACTED
U_R036,R036,Arlettaz,2006,"The contribution of pulse oximetry to the early detection of congenital heart disease in newborns",Switzerland,16211399,"restart-native Raw_Public_Corpus + PubMed_Reconciliation exact concordance; resolves Block17 operational provenance gap",IDENTITY_RECONSTRUCTED_EXACT,NOT_YET_EXTRACTED
U_R037,R037,Tautz,2010,"Implication of pulse oxymetry screening for detection of congenital heart defects",Germany,20458668,"restart-native Raw_Public_Corpus + PubMed_Reconciliation exact concordance; resolves Block17 operational provenance gap",IDENTITY_RECONSTRUCTED_EXACT,NOT_YET_EXTRACTED
U_R042,R042,Bhola,2014,"Post-implementation review of pulse oximetry screening of well newborns in an Australian tertiary maternity hospital",Australia,24923996,"restart-native PubMed_Reconciliation exact concordance",IDENTITY_RECONSTRUCTED_EXACT,NOT_YET_EXTRACTED
U_R066,R066,Jones,2016,"The impact and efficacy of routine pulse oximetry screening for CHD in a local hospital",United Kingdom,26905447,"restart-native PubMed_Reconciliation exact concordance; recovered record",IDENTITY_RECONSTRUCTED_EXACT,NOT_YET_EXTRACTED
U_R067,R067,Klausner,2017,"Evaluation of a Screening Program to Detect Critical Congenital Heart Defects in Newborns",United States,28250095,"restart-native PubMed_Reconciliation exact concordance; recovered record",IDENTITY_RECONSTRUCTED_EXACT,NOT_YET_EXTRACTED
