candidate_id,year,first_author,title,source_type,journal_or_platform,pmid,doi,direct_status,patient_level_extractability,tof_morgagni_signal,role,notes
D001,1952,Johnson,"Subcostosternal diaphragmatic hernia",case_report,American Journal of Surgery,14952651,10.1016/0002-9610(52)90047-0,DIRECT_CANDIDATE,yes,"explicit TOF + historical subcostosternal/Morgagni-equivalent terminology",PRIMARY_DIRECT_CANDIDATE,"Abstract explicitly reports coexisting TOF; full-text confirmation/extraction pending."
D002,2006,Sonmez,"Treatment of Morgagni hernias by transabdominal approach",case_series,West Indian Medical Journal,17373298,10.1590/S0043-31442006000500005,DIRECT_EXTRACTABLE,yes,"one tabled patient with Morgagni hernia and Tetralogy of Fallot",PRIMARY_DIRECT_CANDIDATE,"Hidden-in-series case: 12-month female presenting with cyanosis; TOF listed as associated anomaly; transabdominal Morgagni repair."
D003,2006,Goldstein,"Bilateral Morgagni Hernias",clinical_case_repository,Eurorad,,,DIRECT_CANDIDATE,yes,"explicit TOF + bilateral Morgagni",PRIMARY_DIRECT_CANDIDATE,"Down syndrome; recurrent respiratory infections; modified BT shunt in infancy and later definitive TOF repair; repository-format eligibility/appraisal remains for Phase 5/6."
D004,2014,Rao,"Breathlessness in the older patient with repaired Fallot's Tetralogy: not always the heart",case_report,Heart Asia,27326172,10.1136/heartasia-2014-010535,DIRECT_EXTRACTABLE,yes,"repaired TOF + large Morgagni hernia",PRIMARY_DIRECT_CANDIDATE,"Adult route; multimodal assessment favored noncardiac/respiratory contributors; conservative hernia management described."
D005,2015,Kumar,"Tetralogy of Fallot with concomitant Morgagni hernia in Down syndrome: the value of routine chest roentgenogram",case_report,Annals of Thoracic Surgery,25639421,10.1016/j.athoracsur.2014.09.071,DIRECT_CANDIDATE,yes,"explicit TOF + Morgagni",PRIMARY_DIRECT_CANDIDATE,"Down syndrome; PubMed-indexed direct sentinel."
D006,2015,Aironi,"Tetralogy of Fallot with Morgagni's Hernia",case_report,Journal of Cardiac Surgery,25976041,10.1111/jocs.12574,DIRECT_CANDIDATE,yes,"explicit TOF + Morgagni",PRIMARY_DIRECT_CANDIDATE,"PubMed-indexed direct sentinel; full clinical extraction pending."
D007,2016,Venugopal,"Tetralogy of Fallot with Morgagni diaphragmatic hernia: a rare case report with successful surgical outcome",case_report,Chirurgia,,,DIRECT_CANDIDATE,yes,"explicit TOF + Morgagni",PRIMARY_DIRECT_CANDIDATE,"Direct case with successful surgical outcome reported; full extraction pending."
D008,2024,Veejeyahshegarun,"Pentalogy on Cantrell: an unwanted surprise",conference_abstract,Malaysian Journal of Paediatrics and Child Health Supplementary,,,DIRECT_CANDIDATE,yes,"operative Morgagni hernia + postoperative TOF diagnosis",PRIMARY_DIRECT_CANDIDATE,"Hernia-first neonatal route with later desaturation and poor outcome; final format eligibility/appraisal remains for Phase 5/6."
S001,2014,Al-Salem,"Congenital Morgagni's hernia: a national multicenter study",case_series,Pediatric Surgery International,24726101,,AGGREGATE_SIGNAL,unresolved,"Morgagni series with CHD; secondary academic signal mentions TOF but accessible primary abstract does not provide patient-level TOF count",SERIES_SIGNAL_UNRESOLVED,"Do not count a direct patient without primary patient-level verification; possible overlap with earlier Saudi series requires reconciliation."
S002,2025,Ortiz,"Laparoscopic repair of Morgagni hernia in children: Tips and tricks learned in 20 years' experience",case_series,Cirugia Pediatrica,40196877,10.54847/cp.2025.02.11,DIRECT_AGGREGATE_SIGNAL,no,"55 Morgagni patients; associated cardiac defects include 2 TOF",SERIES_SIGNAL_UNRESOLVED,"Confirms two additional TOF-associated Morgagni patients at aggregate level, but individual ages/presentation/management cannot currently be mapped; do not count as individually extractable cases."
S003,2018,Tan,"Morgagni hernia: a 20-year experience from a tertiary paediatric centre",case_series,Great Ormond Street experience,,,CARDIAC_SIGNAL_UNRESOLVED,no,"one small Morgagni found incidentally during cardiac surgery; cardiac diagnosis not identified",SERIES_SIGNAL_UNRESOLVED,"Exact searches did not establish TOF; retain as unresolved cardiac-association signal only."
S004,2020,Bawazir,"Pediatric Morgagni hernia series with frequent prior cardiac correction",case_series,pediatric_surgery_series,,,CONTEXT_ONLY,no,"Morgagni/post-cardiac-sternotomy signal without identified TOF",CARDIAC_SURGERY_CONTEXT,"No Fallot/Tetralogy signal found in accessible full article; many cases may represent post-sternotomy/acquired anterior diaphragmatic defects."
S005,2023,Columbia,"Congenital diaphragmatic hernia with congenital heart disease cohort",cohort,tertiary_center_series,,,NEGATIVE_SERIES_CONTROL,yes,"7 Morgagni patients; cardiac lesions among Morgagni were ASD/VSD rather than TOF",NEGATIVE_SERIES_CONTROL,"Useful negative hidden-case check; no TOF among Morgagni subgroup."
A001,2026,Zhu,"Surgical Repair of Tetralogy of Fallot and a Large Congenital Diaphragmatic Hernia in a 16-Week-Old Infant With Pentalogy of Cantrell and a Large Omphalocele: A Case Report",case_report,World Journal for Pediatric and Congenital Heart Surgery,41204094,10.1177/21501351251375452,ANATOMY_PENDING,yes,"TOF + large congenital diaphragmatic hernia; accessible abstract does not establish Morgagni type",MANAGEMENT_ANALOG_PENDING_ANATOMY,"RVOT stent at 7 weeks with temporary improvement, then combined definitive cardiac/diaphragmatic repair at 16 weeks; direct-set status awaits full-text anatomy."
X001,1950,Hatherley,"Congenital right diaphragmatic hernia associated with Fallot's tetralogy",case_report,Thorax,15431216,,EXCLUDE_DIRECT,yes,"TOF + posterolateral diaphragmatic defect",HISTORICAL_CONTEXT,"Full-text anatomy identifies posterolateral/non-Morgagni defect; retained as historical diagnostic/physiology context only."
