unit_id,source_report_id,rerun_source,final_failed_screens,pre_target,pre_denominator,post_target,post_denominator,post_strict,post_can_u,post_expanded,post_noncan_or_transitional,post_healthy_no_diagnosis,post_unknown,post_ascertained,post_ascertainment_pct,pre_poolability,post_poolability,remaining_target_uncertainty,change_reason
U_R006,R006,BATCH01+BATCH02,324,0-11,313-324,11,313,32,134,166,147,0,0,313,100,SENSITIVITY_ONLY,PRIMARY_POOLABLE,NONE,"Unqualified TGA x11 now d-TGA target; all other conditional/off-list CHD remain denominator without <=28d event"
U_R008,R008,BATCH01+BATCH02,88,5-7,81-83,11,77,42,8,50,3,24,0,77,100,SENSITIVITY_ONLY,PRIMARY_POOLABLE,NONE,"Full patient-table rerun identified seven TGA-bearing participants; unique target union HLHS3+IAA2+TGA7 with one IAA/TGA overlap =11"
U_R009,R009,BATCH02,54,14,40,6,48,0,36,36,0,12,0,48,100,PRIMARY_POOLABLE,PRIMARY_POOLABLE,NONE,"PA/VSD2 and TAPVD5 lacked actual <=28d event; Taussig-Bing off-list; only TGA4+HLHS1+IAA-containing case1 target"
U_R010,R010,BATCH01,195,17,178,18,177,46,8,54,123,0,0,177,100,PRIMARY_POOLABLE,PRIMARY_POOLABLE,NONE,"Complex TGA+VSD now unconditional d-TGA target"
U_R013,R013,BATCH01+BATCH02,29,2-5,24-27,5,24,0,15,15,9,0,0,24,100,SENSITIVITY_ONLY,PRIMARY_POOLABLE,NONE,"Conventional TGA x3 now target; explicit ccTGA remains denominator; conditional lesions without qualifying event remain denominator"
U_R018,R018,BATCH02,7,6,1,2,5,0,4,4,1,0,0,5,100,PRIMARY_POOLABLE,PRIMARY_POOLABLE,NONE,"Primary table shows CoA,TAPVR,PS without actual <=28d event plus pulmonary hypoplasia off-list; only TGA x2 target"
U_R020,R020,BATCH02,226,5,221,0-5,221-226,131,3-8,134-139,0,87,0,221-226,100,PRIMARY_POOLABLE,SENSITIVITY_ONLY,SOURCE_CCHD_LESIONS_UNAVAILABLE,"Five source-CCHD lesion identities unavailable; source CCHD label cannot establish harmonized target membership"
U_R023,R023,BATCH01+BATCH02,15,3-5,10-12,4,11,6,1,7,2,2,0,11,100,SENSITIVITY_ONLY,PRIMARY_POOLABLE,NONE,"Both TGA-containing participants now target; CoA+PDA lacks <=28d event and remains denominator/CAN-B"
U_R024,R024,BATCH02,16,3,13,2-3,13-14,0-1,10,10-11,3,0,0,13-14,100,PRIMARY_POOLABLE,SENSITIVITY_ONLY,PA_ANATOMY_UNRESOLVED,"TGA/IVS x2 target; generic pulmonary atresia lacks septal anatomy. If non-target, PGE1+transfer makes returned PA CAN-A1"
U_R036,R036,BATCH01+BATCH02,24,3-5,19-21,5,19,0,18,18,0,0,1,18,94.7,SENSITIVITY_ONLY,PRIMARY_POOLABLE,NONE,"TGA x2 now target in addition to HLHS3; conditional/off-list structural lesions remain denominator"
U_R043,R043,BATCH02,14,7,7,0-7,7-14,0,7-14,7-14,0,0,0,7-14,100,PRIMARY_POOLABLE,SENSITIVITY_ONLY,SOURCE_CCHD_LESIONS_UNAVAILABLE,"Seven source-CCHD lesions/events unavailable; no point harmonized target count can be assigned"
U_R053,R053,BATCH01,29,"2 definite + 0-2 pre-echo deaths",25-27,3-5,24-26,0,18,18,0,0,6-8,18,69.2-75.0,SENSITIVITY_ONLY,SENSITIVITY_ONLY,PRE_ECHO_DEATHS_UNRESOLVED,"Complex TGA+VSD+PS now target; two pre-echo deaths remain unknown for target membership and six imaged false positives remain etiologically unclassified"
U_R071,R071,BATCH02,5,3,2,0,5,2,3,5,0,0,0,5,100,PRIMARY_POOLABLE,PRIMARY_POOLABLE,NONE,"TAPVR x3 had no observed <=28d invasive/death event; returned to denominator as CAN-U; sepsis x2 remains Strict CAN-A"
U_R072,R072,BATCH02,34,1,33,0,34,0,11,11,23,0,0,34,100,PRIMARY_POOLABLE,PRIMARY_POOLABLE,NONE,"Source true-positive TAPVR lacks observed <=28d event; returned to denominator/CAN-U"
